SKU	Category	Class	Size
1004035401640	Small Leather Goods	Wallet	Extra Extra Small
1004076201230	Face Accessories	Face Accessories	Regular
1003763367648	Small Leather Goods	Wallet	Extra Extra Small
1003969129200	Bags	Crossbody	Small
1003986001213	Bags	Crossbody	Medium
1003369712064	Footwear	Boots	39
1000798506219	Bags	Dressy	Medium
1003979101647	Small Leather Goods	Card Holder	Extra Extra Small
1003713927038	Footwear	Heels	36
1003580383647	Small Leather Goods	Wallet	Extra Extra Small
1003427901645	Small Leather Goods	Wallet	Extra Extra Small
1003923518200	Bags	Crossbody	Small
1001495601054	Footwear	Flats	38
1003406603201	Bags	Top handle	Small
1003238201019	Footwear	Heels	34
1003377401066	Footwear	Flats	39
1003500101214	Bags	Crossbody	Medium
1003238201026	Footwear	Heels	35
1002342383642	Small Leather Goods	Dressy	Extra Extra Small
1001446273026	Footwear	Flats	35
1001588701036	Footwear	Boots	36
1003985001207	Bags	Top handle	Small
1003417713647	Small Leather Goods	Trendy	Extra Extra Small
1003408706207	Bags	Crossbody	Small
1003365601058	Footwear	Flats	38
1003897701646	Small Leather Goods	Card Holder	Extra Extra Small
1003366424083	Footwear	Wedges	41
1003169857200	Bags	Clutch	Small
1004016467023	Footwear	Heels	35
1003438824018	Footwear	Heels	34
1003986101326	Small Leather Goods	Wallet	Extra Small
1004079728208	Bags	Top handle	Small
1003884566081	Footwear	Heels	41
1003438822021	Footwear	Heels	35
1003062415323	Small Leather Goods	Wallet	Extra Small
1003626983206	Bags	Top handle	Small
1003169257208	Bags	Shoulder	Small
1003169956323	Small Leather Goods	Wallet	Extra Small
1003440015039	Footwear	Heels	36
1003428008330	Small Leather Goods	Wallet	Extra Small
1002874001038	Footwear	Heels	36
1003425603206	Bags	Bucket	Small
1004018401049	Footwear	Heels	37
1003127141051	Footwear	Flats	38
1003299704320	Small Leather Goods	Wallet	Extra Small
1003060690210	Bags	Clutch	Medium
1003543205214	Bags	Tote	Medium
1003063001327	Small Leather Goods	Wallet	Extra Small
1003899724018	Footwear	Heels	34
1003132735054	Footwear	Heels	38
1003580301641	Small Leather Goods	Wallet	Extra Extra Small
1003500801640	Small Leather Goods	Wallet	Extra Extra Small
1003986018211	Bags	Crossbody	Medium
1002470701226	Bags	Trendy	Large
1002554935646	Small Leather Goods	Trendy	Extra Extra Small
1003727501200	Bags	Clutch	Small
1001495104050	Footwear	Flats	38
1004096401054	Footwear	Flats	38
1001583613037	Footwear	Flats	36
1001445701063	Footwear	Flats	39
1004089101053	Footwear	Heels	38
1001426014052	Footwear	Wedges	38
1003364255047	Footwear	Flats	37
1001533913323	Small Leather Goods	Trendy	Extra Small
1004113503648	Small Leather Goods	Card Holder	Extra Extra Small
1004099341043	Footwear	Flats	37
1003500501328	Small Leather Goods	Wallet	Extra Small
1004018101079	Footwear	Heels	40
1004019844012	Footwear	Heels	34
1003126801055	Footwear	Heels	38
1004044735057	Footwear	Flats	38
1003373401206	Bags	Crossbody	Small
1003373904646	Small Leather Goods	Pouch	Extra Extra Small
1004102701017	Footwear	Heels	34
1003451302036	Footwear	Boots	36
1003495708221	Bags	Top handle	Large
1001599513321	Small Leather Goods	Trendy	Extra Small
1002989627062	Footwear	Heels	39
1003059190202	Bags	Top handle	Small
1003730101329	Small Leather Goods	Wallet	Extra Small
1004023401027	Footwear	Flats	35
1003137201066	Footwear	Flats	39
1003587023089	Footwear	Heels	41
1003376901024	Footwear	Flats	35
1003596214072	Footwear	Heels	40
1003059101208	Bags	Top handle	Small
1004080303203	Bags	Crossbody	Small
1003299601322	Small Leather Goods	Wallet	Extra Small
1003794923042	Footwear	Heels	37
1004079901205	Bags	Crossbody	Small
1003357301034	Footwear	Heels	36
1003416801642	Small Leather Goods	Card Holder	Extra Extra Small
1003376208032	Footwear	Heels	36
1003441001055	Footwear	Flats	38
1003762501210	Bags	Crossbody	Medium
1003374024640	Small Leather Goods	Pouch	Extra Extra Small
1003837405078	Footwear	Sneakers	40
1002864960321	Small Leather Goods	Wallet	Extra Small
1003415524641	Small Leather Goods	Pouch	Extra Extra Small
1003448724056	Footwear	Flats	38
1003302401055	Footwear	Heels	38
1004097601057	Footwear	Flats	38
1001552730321	Small Leather Goods	Trendy	Extra Small
1001600406215	Bags	Trendy	Medium
1001600612203	Bags	Dressy	Small